train,val
"[0.4432427016448002, 0.26256351096897707, 0.22832394056782432, 0.21655305170891237, 0.2121355089606071, 0.21048178204468318, 0.2095754376175452, 0.20924595728212472, 0.2093372433161249, 0.20888960042170115]","[0.2952858128330924, 0.23271571506153454, 0.21396810493685983, 0.20672343942252072, 0.2036122896454551, 0.20225206017494202, 0.20164241574027322, 0.20137760720469736, 0.20126076990907843, 0.201204467903484]"
"[0.2094215147045194, 0.20927454827695477, 0.2089755151953016, 0.2091315727756948, 0.20922575221986187, 0.20912009059470527, 0.2089844046502697, 0.20895589416732593, 0.20906954456348809, 0.2089439787122668]","[0.2012100856412541, 0.2011886699633165, 0.20117149569771506, 0.20116959512233734, 0.20116749541326004, 0.2011755948716944, 0.20115586844357577, 0.2011545259844173, 0.20114921033382416, 0.20115907083858142]"
"[0.20890232358051805, 0.20860527014854002, 0.20904215060326517, 0.20876875170031373, 0.20855458050358053, 0.20838263843740737, 0.2080244672845821, 0.2078260771778165, 0.20720948780677756, 0.20639281263765025]","[0.20119170980020004, 0.20119704577055844, 0.20120293443853204, 0.2012495533986525, 0.20131934095512738, 0.20147290690378708, 0.20153794098984112, 0.202079331332987, 0.20260695977644486, 0.20258065109903162]"
"[0.2053485409337647, 0.2047154506554409, 0.20435494184494019, 0.20422722642519037, 0.20394638287169592, 0.20405786788585234, 0.20381245458004427, 0.20357571291376134, 0.20343941358887419, 0.2034402290473179]","[0.20328761637210846, 0.2039077173579823, 0.20452374084429306, 0.20429071377624164, 0.20466102117841894, 0.20486244017427618, 0.20509787581183694, 0.20513645220886578, 0.20518001914024353, 0.20521076294508847]"
"[0.20350549932645293, 0.20351099527003813, 0.2029809731305862, 0.20296065478908773, 0.20299516025246406, 0.20259646280687682, 0.20233825533365718, 0.20257919889931775, 0.20199114297117507, 0.2019289303190854]","[0.2055964239618995, 0.205709847536954, 0.20523087680339813, 0.20559764043851333, 0.2061632045290687, 0.2058587372303009, 0.20576868680390445, 0.20643658529628406, 0.20637897605245764, 0.2065641229802912]"
"[0.20243058064762426, 0.2022765316069126, 0.20204786287278545, 0.20167669965600482, 0.2015865287002252, 0.2015615237914786, 0.20133090733873601, 0.20108816772699356, 0.20113137584863877, 0.20097163578077237]","[0.20696353099562906, 0.2065974541685798, 0.2066032588481903, 0.20686804164539685, 0.20731782913208008, 0.20732906596227127, 0.20716667581688275, 0.20716914534568787, 0.2075344378297979, 0.20767049355940384]"
"[0.20130918980861195, 0.20157053093520963, 0.2009146367104686, 0.20115594231352515, 0.20092209519780413, 0.20095621064609412, 0.20090121380528625, 0.20050438371848087, 0.20051178244911894, 0.2007080321105159]","[0.20806640928441827, 0.2073829092762687, 0.20743092894554138, 0.20746604285456918, 0.20760268785736777, 0.20872269570827484, 0.20797169479456815, 0.20805700394240292, 0.20844805917956613, 0.20783693411133505]"
"[0.2010082389627184, 0.2004366947375998, 0.20054979394285047, 0.2002958098844606, 0.20045675808677868, 0.20039052242527203, 0.20036840089121644, 0.19997705853715234, 0.20012923390889653, 0.19976598343678884]","[0.20884879746220328, 0.20803749561309814, 0.20874714038588785, 0.2081854072484103, 0.20815272358330814, 0.2084572030739351, 0.20852048695087433, 0.2087039351463318, 0.20910240032456137, 0.20870884440161966]"
"[0.20036681711065527, 0.20029143396080756, 0.19995963208529413, 0.20000239066323455, 0.19990083012653856, 0.19975042943747676, 0.19945083999512148, 0.19944199782853222, 0.1995243646052419, 0.1998897127959193]","[0.20841248604384335, 0.20871867781335657, 0.2084400166164745, 0.20834494856270877, 0.20899647067893634, 0.2084240276705135, 0.2088105475360697, 0.20868483592163434, 0.20890034464272586, 0.20862809771841223]"
"[0.19966652548434782, 0.1994829648459444, 0.19950129867208247, 0.19924084629331315, 0.19926687923012948, 0.1991532052658042, 0.1991625968746993, 0.1990466916135379, 0.1991000969190987, 0.19904696454807203]","[0.20919179645451633, 0.20907491039146076, 0.2092005502093922, 0.20892634987831116, 0.20884813368320465, 0.20907551862976767, 0.20889402384107764, 0.20903368971564554, 0.20875679362903943, 0.2088262438774109]"
