params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_10_10_1000,65.75184679031372,0.0,0.019416093826293945,0.0,0.001,10,10,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 1000}",0.022076175777341445,0.022076175777341445,0.0,1,0.06542314174677055,0.06542314174677055,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.001_15_15_5000,64.45556402206421,0.0,0.0677800178527832,0.0,0.001,15,15,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 5000}",0.020654550156905205,0.020654550156905205,0.0,2,0.03843369791950635,0.03843369791950635,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.001_5_5_500,65.86984920501709,0.0,0.022266864776611328,0.0,0.001,5,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.020517977790144748,0.020517977790144748,0.0,3,0.058360874983870104,0.058360874983870104,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.002_20_20_10000,72.02267122268677,0.0,0.018553733825683594,0.0,0.002,20,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 10000}",0.019174138231713878,0.019174138231713878,0.0,4,0.035236792012011575,0.035236792012011575,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.001_15_5_500,61.83826518058777,0.0,0.017709970474243164,0.0,0.001,15,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.019105827548415277,0.019105827548415277,0.0,5,0.06025369668496894,0.06025369668496894,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.01_20_5_10000,68.9563000202179,0.0,0.06888389587402344,0.0,0.01,20,5,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 5, 'batch_size': 10000}",0.01853237745051506,0.01853237745051506,0.0,6,0.05288330810649833,0.05288330810649833,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.002_15_20_5000,66.42927813529968,0.0,0.0186159610748291,0.0,0.002,15,20,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 5000}",0.017819676662891082,0.017819676662891082,0.0,7,0.04454563895022112,0.04454563895022112,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.002_10_10_5000,66.88885498046875,0.0,0.019257068634033203,0.0,0.002,10,10,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 5000}",0.017509268132639533,0.017509268132639533,0.0,8,0.04151978855170024,0.04151978855170024,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.001_10_20_1000,68.43403482437134,0.0,0.06918716430664062,0.0,0.001,10,20,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 1000}",0.017100535446947895,0.017100535446947895,0.0,9,0.07621469295633532,0.07621469295633532,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
0.002_5_5_5000,70.00311589241028,0.0,0.019405126571655273,0.0,0.002,5,5,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 5000}",0.0170418891052756,0.0170418891052756,0.0,10,0.03826288911712927,0.03826288911712927,0.0,7,300,0.3031376351327402,0.35193510516196147,0.05092085251803846,0.03179243986628755,0.019870398836071446,0.22952722112794954,0.003103415947407484,1.032292127609253,0.050878495,0.0017067763
