train,val
"[0.4438489708973437, 0.265551358005222, 0.23209596121189546, 0.220954636225895, 0.2171043116523295, 0.21510473106588637, 0.21454108901778046, 0.21413710759002336, 0.21410108433694255, 0.2140675571804144]","[0.3073819306763736, 0.2491153830831701, 0.23278781365264545, 0.22702809355475687, 0.22496400638060135, 0.22427447140216827, 0.22408353198658337, 0.22406527535481888, 0.22409192404963754, 0.22411500865762884]"
"[0.21408115281742446, 0.21420634598756322, 0.21399254884038652, 0.2143888811067659, 0.21422648080149476, 0.2139219106460104, 0.2139982562892291, 0.21366787945129434, 0.21383618791492617, 0.21386294082111243]","[0.2241717685352672, 0.22417017817497253, 0.2241548706184734, 0.22414351999759674, 0.2241540632464669, 0.224151535467668, 0.22415190935134888, 0.22417624565688046, 0.22417317059907046, 0.22415508329868317]"
"[0.21419403778046978, 0.21362369659603858, 0.21348695654650124, 0.21370703818238512, 0.2134032374133869, 0.21278703896975032, 0.21250675405774797, 0.2114677152463368, 0.2105403694571281, 0.20959357369919213]","[0.22421349449591202, 0.22421701387925583, 0.22422826967456125, 0.22427833486687054, 0.22432960434393448, 0.22452156652103772, 0.22492148930376227, 0.22564100948247043, 0.22626716575839304, 0.22693574699488553]"
"[0.20937585541788412, 0.20876730096583462, 0.20821272946742117, 0.20814218965111947, 0.20760144871108385, 0.2077113538980484, 0.20785869855661782, 0.20738497117952426, 0.2072146840545596, 0.20712387941929758]","[0.22740199078213086, 0.22783292152664877, 0.2285699871453372, 0.2289269878105684, 0.22969560189680618, 0.2300459769639102, 0.22987235269763254, 0.23005473749204117, 0.23020401055162604, 0.23043981059031052]"
"[0.20715823389437735, 0.20740089322231253, 0.20699613419722537, 0.20700955254082776, 0.20659654876407313, 0.20674477973762823, 0.20685976333155923, 0.2065274379387194, 0.2066820345971049, 0.20637678172515364]","[0.23004977405071259, 0.2302985435182398, 0.23033606057817285, 0.23050911860032516, 0.2307479368014769, 0.2307991791855205, 0.23119523985819382, 0.2311548482288014, 0.23115604438564993, 0.23136766661297192]"
"[0.2068365596386851, 0.20620960346898254, 0.20642225216237867, 0.20618448041531504, 0.20574461227777052, 0.20573543741994973, 0.2057353133449749, 0.20568317281348364, 0.2053996073652287, 0.2055197999793656]","[0.23100766675038772, 0.2312298281626268, 0.23146965151483362, 0.2316255190155723, 0.23187628117474643, 0.23196845298463648, 0.23217911611903796, 0.23222944817759775, 0.2329475459727374, 0.23244154317812485]"
"[0.20569856328015423, 0.20579686061460145, 0.2054132378222991, 0.20506327538465968, 0.20516757575833067, 0.20505065942297176, 0.20496174130512743, 0.20478248542972974, 0.20508642798783827, 0.20466737236295426]","[0.23204774883660403, 0.23236491734331305, 0.232453775676814, 0.23266594789244913, 0.23275994441725992, 0.23291632262143222, 0.23279101740230213, 0.23297236588868228, 0.23314298553900284, 0.2332355325872248]"
"[0.20522088937613428, 0.20488927315692512, 0.20456573595197833, 0.20469817123850997, 0.20414103537189718, 0.20445005443631387, 0.20408805429327245, 0.203957912265038, 0.20380464120178807, 0.20414548291235554]","[0.23257572000676935, 0.23297473110935904, 0.23293068598617206, 0.23335107483647086, 0.2332914173603058, 0.23325818235223944, 0.23359660397876392, 0.2339950610290874, 0.23412003842267123, 0.23380458084019748]"
"[0.2044529717187492, 0.2044911031060073, 0.20409925358027828, 0.2039455855075194, 0.2040770847578438, 0.20378170816265806, 0.20351729101064253, 0.20346707500973527, 0.20350415472473418, 0.20317736587354115]","[0.23331388018348, 0.23340462283654648, 0.2339520508592779, 0.23372096907008777, 0.23411110449921002, 0.23425164818763733, 0.23416886139999737, 0.23400262810967185, 0.2347742264921015, 0.23456977172331375]"
"[0.20372232703530058, 0.2038298209710997, 0.20350150763988495, 0.20323539327601997, 0.20327732864083076, 0.20307655450032683, 0.2032100947535768, 0.2030080021644125, 0.20295341586580082, 0.20258999904807734]","[0.2341323427178643, 0.23374188352714886, 0.23385551978241315, 0.23480051891370254, 0.23449370671402325, 0.2353131486610933, 0.2347894229672172, 0.2351159913973375, 0.23461945761333813, 0.2356217937035994]"
"[0.2033980650713249, 0.20312837784995838, 0.2030000948176092, 0.20274790087524724, 0.2029644259992911, 0.20304610580205917, 0.2024550106452436, 0.20257570777012376, 0.2024824058218878, 0.20235061158939283]","[0.23422596129504117, 0.23461779274723746, 0.2349295751615004, 0.2356601818041368, 0.23485869711095636, 0.2349674796516245, 0.23519541187719864, 0.23525979708541522, 0.235508917407556, 0.23570377447388388]"
"[0.20311317547243468, 0.20266653658175954, 0.20275839114067506, 0.20270219156328512, 0.20269814513775766, 0.2022817356854069, 0.20242083817720413, 0.20209436225039618, 0.2022975780525986, 0.20205753980850688]","[0.23459221964532678, 0.23481981049884448, 0.23534589599479327, 0.23577408628030258, 0.23557604713873428, 0.2353538437323137, 0.235832233320583, 0.235479549928145, 0.23579911210320212, 0.23638819564472546]"
"[0.20256002825133654, 0.2024432910340173, 0.20230823359927352, 0.2022634600194133, 0.20236867620628707, 0.20201693353604297, 0.2020331472158432, 0.2019981200597724, 0.20197922280248332, 0.20185779232759865]","[0.23497007380832324, 0.23536293614994397, 0.23504908924753015, 0.2353002063252709, 0.2365662861954082, 0.2362102662975138, 0.23629049414938147, 0.2364118668166074, 0.23590472746979108, 0.2359391830184243]"
"[0.2023373243151879, 0.20222580524123446, 0.20209569423174373, 0.20252573338090157, 0.20202882101341169, 0.2017978212359, 0.20185664189713343, 0.20154097873945626, 0.20178607167029866, 0.20153067124133206]","[0.2356316311792894, 0.23612517660314386, 0.2359703386371786, 0.2357158146121285, 0.23596630584109912, 0.23619386011903937, 0.23651055178859018, 0.2364371053197167, 0.2364446778189052, 0.23666113073175604]"
"[0.20260047061102732, 0.20221097676121458, 0.20222476763384684, 0.20216433779925716, 0.2020220260839073, 0.20180384738712895, 0.2016331415091242, 0.2018834887718668, 0.20179211409116277, 0.20184809075934546]","[0.23576965115287088, 0.23642278665846045, 0.23573654890060425, 0.2358780259435827, 0.23656995594501495, 0.23647566817023538, 0.23663997243751178, 0.23650619116696445, 0.23670114305886356, 0.2370217198675329]"
"[0.20230514875480107, 0.20213657328668905, 0.2017681332571166, 0.20186354113476618, 0.2016800549261424, 0.2017728701537969, 0.2017867365966038, 0.20146695676506782, 0.20168221270551487, 0.20152394823273834]","[0.23541176996447824, 0.23698458075523376, 0.23600748723203485, 0.23629239472475919, 0.23600549589503894, 0.23634215782989154, 0.23670705069195142, 0.23634547266093167, 0.23669742047786713, 0.23626002533869309]"
"[0.20219933773790086, 0.20159243792295456, 0.20176240961466516, 0.20149428944806663, 0.2013404448421634, 0.2018353289791516, 0.20156700817906126, 0.20124322662548144, 0.20105163388106287, 0.201377841282864]","[0.23572297123345462, 0.2363814047791741, 0.23670554702932184, 0.2365696443752809, 0.23670012165199628, 0.23683180185881528, 0.23618017949841238, 0.23648679933764719, 0.2384059104052457, 0.23716097528284247]"
"[0.20218712395551253, 0.20161246964517904, 0.20142989529638874, 0.2012601656725212, 0.20124942915780203, 0.20127445428955312, 0.20138413246188844, 0.20128122291394643, 0.20142169311946753, 0.20097397723976446]","[0.23654148118062454, 0.2373315001075918, 0.2369327558712526, 0.23694701357321304, 0.2366156672889536, 0.23711788654327393, 0.23651862144470215, 0.2366067184643312, 0.23710384152152322, 0.23748693276535382]"
"[0.20172754720765718, 0.201841978546308, 0.201517787362848, 0.20110798497893373, 0.2014088615471003, 0.20109549560108964, 0.20115480176648315, 0.20082238590230747, 0.20132563019893607, 0.20097434338258238]","[0.23672970045696606, 0.23713580044833096, 0.2364485968242992, 0.23665383051742206, 0.23704181882468137, 0.23685529286211188, 0.2366716509515589, 0.2378880882805044, 0.2374865250153975, 0.2382292544299906]"
"[0.20199545047112874, 0.2017391445685406, 0.20163961332671496, 0.20118786227338167, 0.2011007599684657, 0.20119818467266706, 0.20091060100465405, 0.20138846033689928, 0.2010528490859635, 0.20090401689617002]","[0.2360731823877855, 0.23713760619813745, 0.23669194091450085, 0.23667717792771079, 0.23644391921433536, 0.2367432645776055, 0.2386195808649063, 0.23710305175997995, 0.23744027452035385, 0.23780600726604462]"
"[0.20179961865045587, 0.20131824454482722, 0.20149835092680796, 0.2013330287775215, 0.20122495445669913, 0.20097639472508916, 0.20121550924923956, 0.20069779486072306, 0.2007517042208691, 0.20103148234133816]","[0.23713563653555783, 0.23737271130084991, 0.23714542253450913, 0.2372946021231738, 0.2377096631310203, 0.23768610845912586, 0.23789374936710705, 0.2383736805482344, 0.2374503273855556, 0.23814220591024918]"
"[0.2017601996052022, 0.20140122728688375, 0.20129072042752286, 0.20120502841107699, 0.20100234281651827, 0.20100259111852062, 0.20078409584809323, 0.20093932033193354, 0.20076674891977894, 0.20084158194308377]","[0.23709088292988864, 0.236997819759629, 0.23708880083127457, 0.23723183572292328, 0.23844937709244815, 0.23713803562251004, 0.237526382912289, 0.23797372660853647, 0.23748609830032696, 0.23830912600864063]"
"[0.20175424126946195, 0.2012835005108191, 0.2012502242411886, 0.20101537372992964, 0.20127281196871583, 0.20071587589930515, 0.20088651859942747, 0.20103897770144502, 0.2008436433210665, 0.20080851581023665]","[0.2375678379427303, 0.23756545240228827, 0.23743776706132022, 0.2382553517818451, 0.238140424544161, 0.23821917311711746, 0.23784218593077225, 0.2376836741512472, 0.23777840760621158, 0.23765663938088852]"
