params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_5_15_1000,68.05385112762451,0.0,0.018659114837646484,0.0,0.001,5,15,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 15, 'batch_size': 1000}",0.043859329985101,0.043859329985101,0.0,1,0.07256002215137025,0.07256002215137025,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.002_10_10_5000,596.8788509368896,0.0,0.020179033279418945,0.0,0.002,10,10,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 5000}",0.0432492851666465,0.0432492851666465,0.0,2,0.05080342417526318,0.05080342417526318,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.001_5_5_500,64.74128580093384,0.0,0.02166604995727539,0.0,0.001,5,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.04064798507381995,0.04064798507381995,0.0,3,0.05982301819587821,0.05982301819587821,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.002_15_5_500,64.40996813774109,0.0,0.01953887939453125,0.0,0.002,15,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.03970763656379084,0.03970763656379084,0.0,4,0.062277349230298706,0.062277349230298706,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.001_10_10_1000,60.52362418174744,0.0,0.017796993255615234,0.0,0.001,10,10,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 1000}",0.038918454412466885,0.038918454412466885,0.0,5,0.06339418099825211,0.06339418099825211,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.01_20_5_10000,70.49445676803589,0.0,0.0699319839477539,0.0,0.01,20,5,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 5, 'batch_size': 10000}",0.038503598739907274,0.038503598739907274,0.0,6,0.04660983523471429,0.04660983523471429,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.002_10_15_10000,73.11213278770447,0.0,0.07713818550109863,0.0,0.002,10,15,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 15, 'batch_size': 10000}",0.036297588700446415,0.036297588700446415,0.0,7,0.04717213743407889,0.04717213743407889,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.002_5_5_500,58.21609711647034,0.0,0.020561933517456055,0.0,0.002,5,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.035514619898454614,0.035514619898454614,0.0,8,0.06485873883076942,0.06485873883076942,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.001_10_10_500,66.64040398597717,0.0,0.019541025161743164,0.0,0.001,10,10,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 500}",0.034006554241410414,0.034006554241410414,0.0,9,0.0730564950392727,0.0730564950392727,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.002_5_5_5000,443.80974793434143,0.0,0.017949342727661133,0.0,0.002,5,5,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 5000}",0.033962633783420015,0.033962633783420015,0.0,10,0.041596340400956944,0.041596340400956944,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
0.002_20_20_10000,67.69113492965698,0.0,0.018223047256469727,0.0,0.002,20,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 10000}",0.033274296655496194,0.033274296655496194,0.0,11,0.0412619662902034,0.0412619662902034,0.0,9,300,0.30255292663971156,0.35127935803346283,0.05275148841993205,0.033596463727607606,0.019437025881696157,0.23213778953323305,0.0029951599426567554,1.1642457246780396,0.05136802,0.0018080513
