params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.002_5_5_500,58.64208221435547,0.0,0.020143747329711914,0.0,0.002,5,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.044209327625147954,0.044209327625147954,0.0,1,0.061197109606453526,0.061197109606453526,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.002_15_20_5000,66.20121788978577,0.0,0.020130157470703125,0.0,0.002,15,20,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 5000}",0.037889424747845735,0.037889424747845735,0.0,2,0.05167334557149161,0.05167334557149161,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.01_15_5_10000,67.21749806404114,0.0,0.05947399139404297,0.0,0.01,15,5,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 10000}",0.036546825168022434,0.036546825168022434,0.0,3,0.048536325725765384,0.048536325725765384,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.002_10_10_5000,62.98026704788208,0.0,0.018603086471557617,0.0,0.002,10,10,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 5000}",0.03488472498349826,0.03488472498349826,0.0,4,0.04786712891849565,0.04786712891849565,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.002_20_20_10000,68.58639001846313,0.0,0.018168210983276367,0.0,0.002,20,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 10000}",0.03433198556024708,0.03433198556024708,0.0,5,0.04632523386698262,0.04632523386698262,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.002_15_5_500,62.8893609046936,0.0,0.018384933471679688,0.0,0.002,15,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.03371636041890402,0.03371636041890402,0.0,6,0.06193499326529128,0.06193499326529128,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.002_15_20_10000,68.35216999053955,0.0,0.018542051315307617,0.0,0.002,15,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 10000}",0.03248964584495606,0.03248964584495606,0.0,7,0.04058060544431097,0.04058060544431097,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.001_5_20_5000,62.5083692073822,0.0,0.022253751754760742,0.0,0.001,5,20,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 20, 'batch_size': 5000}",0.032107541763151004,0.032107541763151004,0.0,8,0.038763259002232986,0.038763259002232986,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.001_15_15_1000,67.60067892074585,0.0,0.018777132034301758,0.0,0.001,15,15,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 1000}",0.030410234175380357,0.030410234175380357,0.0,9,0.0697798183044025,0.0697798183044025,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
0.001_15_15_5000,62.51946401596069,0.0,0.018504858016967773,0.0,0.001,15,15,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 5000}",0.029320198964394195,0.029320198964394195,0.0,10,0.04502966882410442,0.04502966882410442,0.0,1,300,0.302084443652321,0.3510564195732369,0.054218239435812055,0.034209789023860626,0.01901256669717133,0.2471424653861155,0.0045525990426540375,1.2126524448394775,0.047579817,0.001478435
