train,val
"[0.4393840699779744, 0.2588969177129317, 0.2243510168425891, 0.2127082759932596, 0.20823281836144777, 0.20632875178541457, 0.2053273723137622, 0.20508193764455465, 0.2049773367387908, 0.20482221899592146]","[0.30866184017874976, 0.2516744082624262, 0.23589195040139285, 0.23055997084487567, 0.2287956720048731, 0.22836496884172613, 0.22839243439110843, 0.22853733599185944, 0.22867394306442954, 0.2287673597986048]"
"[0.20514892710714924, 0.20495052042664313, 0.20485838038884863, 0.2050928011232493, 0.2048136072651464, 0.20453999860554326, 0.2046676811819174, 0.20467816384471194, 0.204533190447457, 0.20469394493467954]","[0.22870259393345227, 0.2287798591635444, 0.22884444215080954, 0.22886402634057132, 0.22889802672646262, 0.22893521189689636, 0.22895574705167251, 0.22896519574252042, 0.22892430831085553, 0.22894692691889676]"
"[0.20467542218310492, 0.20418944825627366, 0.2046664150393739, 0.20423301917557812, 0.20402512973060413, 0.20393939301067468, 0.2038322209703679, 0.20296259939062353, 0.20195408705241827, 0.20152802750164148]","[0.22880461405624042, 0.22893943705342032, 0.22897901860150424, 0.22895341976122421, 0.22902506996284833, 0.22914843938567422, 0.2293696484782479, 0.22991578822786157, 0.23046325689012354, 0.2311611161990599]"
"[0.2008223897036241, 0.20035929217630502, 0.19993474273657313, 0.1997398954569077, 0.1993103162670622, 0.19907254680078856, 0.19928523639635165, 0.19902239527021134, 0.19899027992267998, 0.19879261373865362]","[0.23173247548666867, 0.23232767256823453, 0.23287149180065503, 0.23350647498260846, 0.23369114778258585, 0.23393115943128412, 0.2340896874666214, 0.23429769277572632, 0.23452006551352414, 0.23460080135952344]"
"[0.19893535743562543, 0.1990023633959342, 0.19897972944439674, 0.19906622019349313, 0.1984176466963729, 0.19830727653235805, 0.19859192794074818, 0.19820183538356606, 0.19819120439339658, 0.19803821029407637]","[0.23501771823926407, 0.23499264229427685, 0.2347786399451169, 0.23481045121496374, 0.23495869609442624, 0.23520758341659198, 0.23494232107292523, 0.2351669262756001, 0.23553908548571847, 0.23543160476467825]"
"[0.1981643488516613, 0.19812396731303664, 0.19810410756237654, 0.19811934232711792, 0.1976745241150564, 0.1974591053262049, 0.19742983062656558, 0.19758830584433615, 0.1972723770506528, 0.19721990321971933]","[0.23576480556618085, 0.23596193980086932, 0.23566098104823718, 0.2357578372413462, 0.23603101752021097, 0.23650821230628274, 0.23629089919003574, 0.23636312511834232, 0.23681465062228116, 0.23686631972139532]"
"[0.19755177215045813, 0.19735742086658672, 0.19744065525580426, 0.19688153426562036, 0.19716203341982802, 0.19703394737170668, 0.1967244688041356, 0.19671187154492553, 0.19674771682036166, 0.19697190790760274]","[0.23654202304103158, 0.23679356954314493, 0.23668843507766724, 0.2367814467711882, 0.2371473027901216, 0.2369179671460932, 0.23729126155376434, 0.23715551603924145, 0.23767390169880606, 0.23742061311548407]"
"[0.19704643971457772, 0.19718440492846528, 0.19643506841087827, 0.19650663313817004, 0.1965540414866136, 0.19643742104574125, 0.19646684376865017, 0.19631903093992448, 0.19612302357444958, 0.19616522639989853]","[0.23757390677928925, 0.23719681257551367, 0.237775057554245, 0.23737727782943033, 0.23736136880787936, 0.23783962564034897, 0.2374983849850568, 0.23745534772222693, 0.23803093758496371, 0.23796031962741504]"
"[0.19657668547362697, 0.1966648983712099, 0.1964151021473262, 0.19609893037348378, 0.19586744037817935, 0.19570369881634808, 0.1958272532388872, 0.19566304677603197, 0.19571030352796828, 0.19570605700113336]","[0.23776747286319733, 0.23755711994387887, 0.2379408830946142, 0.2384353672916239, 0.2380787107077512, 0.238025269725106, 0.23816538940776477, 0.23785452138293872, 0.23797352612018585, 0.23821784284981815]"
"[0.1964476363999503, 0.19582373329571315, 0.1957819294564578, 0.19578212142294768, 0.19577978688235187, 0.19567240044778708, 0.1951808949210206, 0.19557417092882856, 0.1951171323200878, 0.19537166635296782]","[0.2389678873799064, 0.23833286491307346, 0.23840846121311188, 0.2378601377660578, 0.23811295628547668, 0.23847496103156696, 0.24024495482444763, 0.23862561718984085, 0.23808839104392313, 0.23880885947834363]"
"[0.19584402426773187, 0.19566250645688602, 0.19565706122286466, 0.19548284581729344, 0.19529793464711734, 0.19505935337166397, 0.19540282703784048, 0.1954575222061605, 0.19539822470776888, 0.1953171058272829]","[0.23848949779163708, 0.23848848180337387, 0.2382898439060558, 0.23850306868553162, 0.23827935213392432, 0.239140739495104, 0.23972237245603042, 0.23899543420834976, 0.2392260188406164, 0.23882619630206714]"
"[0.19552771230133212, 0.19573599883184142, 0.19526117051742514, 0.1949810773438337, 0.19497509794879933, 0.19490710493861413, 0.19505648953574045, 0.19511134451141163, 0.19484252893194862, 0.19470510981520828]","[0.23848248340866782, 0.23983170633966272, 0.23896394128149206, 0.23948814245787534, 0.23899292945861816, 0.23894500461491672, 0.24004923078146848, 0.23950138688087463, 0.23916062306274066, 0.23875937407666986]"
"[0.19533064778970213, 0.19529783056706798, 0.19491026117181293, 0.19494064228267086, 0.19491561053662884, 0.19478217694832353, 0.1945689460452722, 0.19478033140909914, 0.1948241264540322, 0.19453892681975754]","[0.2407964305444197, 0.23960487002676184, 0.2394690974192186, 0.23908912593668158, 0.23973388157107614, 0.238915891809897, 0.239026125181805, 0.23877845298160205, 0.2387012934142893, 0.24024328047578986]"
"[0.195183342968931, 0.19510459831478644, 0.19512310935830585, 0.19456106986926527, 0.19468924828938075, 0.19470385477250937, 0.19468187844874907, 0.1944629681505719, 0.19454730150042748, 0.19455439049978646]","[0.24073858152736316, 0.23872844197533347, 0.23961099169471048, 0.24045938388867813, 0.23863737691532483, 0.23937399956313046, 0.2390318824486299, 0.24029629880731757, 0.2392486740242351, 0.239259041168473]"
"[0.19507035704291598, 0.19485998328547088, 0.1945341451435673, 0.19482003851812713, 0.19453853064653825, 0.1945532679709853, 0.19423243144945224, 0.19441795782471188, 0.19431345651344378, 0.1945841766285653]","[0.23963340710509906, 0.23879353295673023, 0.23999609324065121, 0.24031557007269425, 0.24026522853157736, 0.24074982919476248, 0.23935404961759393, 0.24036044017835098, 0.2401511547240344, 0.23919744925065475]"
"[0.19541062870804143, 0.19482604900793155, 0.19443922398649915, 0.19449154317987208, 0.19451195609812832, 0.19433373197609063, 0.1943386314170701, 0.1942925415172869, 0.19436608817504378, 0.19431995684090925]","[0.24020192298022183, 0.23961242491548712, 0.2388707006519491, 0.23917369002645666, 0.2388917627659711, 0.2395489134571769, 0.23960290578278629, 0.2397538125514984, 0.2398648370396007, 0.23978769914670425]"
"[0.19499226857204827, 0.1946454014705152, 0.194449498033037, 0.19416280683814263, 0.19420629101140158, 0.19411260338158023, 0.1942458830925883, 0.19430272030282994, 0.19409004325161175, 0.1940736549393255]","[0.23936979472637177, 0.2405634414065968, 0.239222606474703, 0.2391869087110866, 0.23952092772180383, 0.24057252705097198, 0.23932874609123578, 0.2397394979541952, 0.24059933830391278, 0.2399604320526123]"
"[0.19474312419794043, 0.19448796735734356, 0.19445012912762408, 0.19419729245864614, 0.19432307323630976, 0.19429965195607166, 0.19387947205378084, 0.19390657513725515, 0.19377236083454016, 0.19389882942243497]","[0.2394045049493963, 0.23941773988983847, 0.23975241319699722, 0.2397385226054625, 0.23984855548901993, 0.2410116263411262, 0.24031629481098868, 0.2407123405825008, 0.24071428857066415, 0.23941009423949502]"
"[0.19449368119239807, 0.19428370254380362, 0.19424404021428557, 0.194072602734882, 0.1942665410437146, 0.19404076214651672, 0.19393121603192115, 0.19415753562839663, 0.1939541147071488, 0.19395767942983277]","[0.23953140594742514, 0.24051690914414145, 0.24035884710875424, 0.23943001438270917, 0.23968431895429437, 0.24058607356114822, 0.23972814191471448, 0.24031628126447852, 0.24039803716269406, 0.23976310952143234]"
"[0.1945915181113749, 0.19411965140274592, 0.19394308100549543, 0.19416628458670207, 0.19389422846083737, 0.19404655649345748, 0.19386266491242818, 0.19374325749825458, 0.19406108086814686, 0.1937211313265927]","[0.23976221816106277, 0.23988430202007294, 0.24057031896981326, 0.23991858959197998, 0.24085357649759812, 0.24055320701815866, 0.23985920440066943, 0.24028980325568805, 0.24042345177043567, 0.24099471352317117]"
"[0.19432152427580893, 0.19434040556756818, 0.19416457369011275, 0.1941014038664954, 0.1941223456239214, 0.1941135410903668, 0.193692646464523, 0.19397001865566993, 0.19385341022695815, 0.1937054500591998]","[0.24104701659896158, 0.2402747165073048, 0.24019096249883826, 0.2404847957871177, 0.2409190142696554, 0.23969900066202338, 0.2408063208514994, 0.24136017669330945, 0.2408103956417604, 0.24143874916163358]"
"[0.19458081938174307, 0.1939306136752878, 0.1940879025781641, 0.19402956582453787, 0.19413322575238287, 0.19368477044056873, 0.19370593974480824, 0.193887398331141, 0.19353516339039317, 0.19345025231643598]","[0.2405122911388224, 0.24024235118519177, 0.24132805114442651, 0.24013052745298905, 0.24003434587608685, 0.2399590164422989, 0.24040255627848886, 0.24111466651613062, 0.24123809418895029, 0.24009728160771457]"
"[0.19424267751829966, 0.19418677261897496, 0.1941424007622563, 0.1940109903106884, 0.19387035968960548, 0.19366102270325836, 0.1935375590561604, 0.19371540814029928, 0.1936318007658939, 0.19335550313093225]","[0.24022820185531268, 0.24108867211775345, 0.24067256261001935, 0.24078143726695667, 0.24047232216054742, 0.24012175337834793, 0.24155595492232929, 0.2408849854360927, 0.241396809166128, 0.2410844239321622]"
"[0.1943319408717204, 0.19397499685993, 0.19400315792584905, 0.19386931318713693, 0.19379215763539684, 0.19364868879926447, 0.19339763555599718, 0.1937055110323186, 0.1933476663365656, 0.19354537699599655]","[0.2405355843630704, 0.24081408706578342, 0.24114016375758432, 0.2412567843090404, 0.24120449207045816, 0.24123609201474625, 0.24064894020557404, 0.24016821519895035, 0.24124036729335785, 0.2401391010392796]"
"[0.19412687375229232, 0.1939398358975138, 0.19349378522257416, 0.19373279505846452, 0.19347813907934694, 0.1937506817737404, 0.19371172040700912, 0.1936640329658985, 0.19380459584751908, 0.19340673461556435]","[0.24232712658968839, 0.2408419888127934, 0.24128815260800449, 0.24029413678429343, 0.2409391010349447, 0.2407356934113936, 0.23953125016255813, 0.24216025932268662, 0.24116484278982336, 0.24136379767547955]"
"[0.1942434458404171, 0.19392641230809446, 0.19387902349841837, 0.1937884221575698, 0.19403445576222575, 0.19368676476332605, 0.19360048856054032, 0.19334716935242927, 0.1932895588023322, 0.19345826579599965]","[0.24189532886851917, 0.24163137105378238, 0.24135974591428583, 0.24200153892690485, 0.24068583006208594, 0.24082395163449374, 0.24033153734423898, 0.24177522550929675, 0.24097043140368027, 0.24050262841311368]"
