params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_10_10_500,58.287431955337524,0.0,0.01827716827392578,0.0,0.001,10,10,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 500}",0.03576025032088059,0.03576025032088059,0.0,1,0.06950134332930813,0.06950134332930813,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.01_15_5_10000,74.6573178768158,0.0,0.0209810733795166,0.0,0.01,15,5,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 10000}",0.03458179294780761,0.03458179294780761,0.0,2,0.048849498712881134,0.048849498712881134,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.01_5_20_10000,68.81378602981567,0.0,0.01841902732849121,0.0,0.01,5,20,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 5, 'module__num_units_1': 20, 'batch_size': 10000}",0.03329396963632025,0.03329396963632025,0.0,3,0.050009238442115356,0.050009238442115356,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.01_5_10_10000,72.98119783401489,0.0,0.019634246826171875,0.0,0.01,5,10,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 5, 'module__num_units_1': 10, 'batch_size': 10000}",0.032329276050954925,0.032329276050954925,0.0,4,0.055434948743383394,0.055434948743383394,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.001_15_5_500,63.79129600524902,0.0,0.01777195930480957,0.0,0.001,15,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.03023886933070974,0.03023886933070974,0.0,5,0.06151658057101683,0.06151658057101683,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.002_15_5_500,63.9664580821991,0.0,0.017979860305786133,0.0,0.002,15,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.030062624495285517,0.030062624495285517,0.0,6,0.06562263580991101,0.06562263580991101,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.002_15_20_5000,63.65533995628357,0.0,0.06241607666015625,0.0,0.002,15,20,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 5000}",0.029787150273406837,0.029787150273406837,0.0,7,0.05322401975073976,0.05322401975073976,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.01_15_5_1000,68.91259908676147,0.0,0.019585132598876953,0.0,0.01,15,5,1000,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 1000}",0.02958213717708491,0.02958213717708491,0.0,8,0.0691878460039358,0.0691878460039358,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.002_10_10_5000,63.41546106338501,0.0,0.01812887191772461,0.0,0.002,10,10,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 5000}",0.029233359465801856,0.029233359465801856,0.0,9,0.041029507003507604,0.041029507003507604,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
0.002_5_5_500,58.498652935028076,0.0,0.019645214080810547,0.0,0.002,5,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.027563669502616572,0.027563669502616572,0.0,10,0.06656367643417171,0.06656367643417171,0.0,2,300,0.3043590226000093,0.35280447734701104,0.04709686881613584,0.029400712784251826,0.01720963470337944,0.2319006950049204,0.0009497122373431921,1.2806832790374756,0.052712075,0.0019475779
