train,val
"[0.445929654398743, 0.26965371686585093, 0.2367169771875654, 0.2263650828782393, 0.22232623033377588, 0.2210867966012079, 0.22044333693932514, 0.22014296723871815, 0.22007463674764244, 0.22007050897393907]","[0.29961502010172064, 0.23930728435516357, 0.2215021333911202, 0.2148556411266327, 0.21216627007180994, 0.21102801236239346, 0.21053901585665616, 0.21031833372332834, 0.21021816405383023, 0.21017612923275342]"
"[0.22028727145219335, 0.2200446898231701, 0.21987714854126073, 0.21998848842114818, 0.22022382276398794, 0.22001405136317623, 0.22004978358745575, 0.21975354622213208, 0.22020873579443717, 0.219706942536393]","[0.2100802077488466, 0.21010320430452173, 0.21012045578523117, 0.21013529327782718, 0.21013585410334848, 0.21014603972434998, 0.21015007252042944, 0.21015624431046573, 0.21015550738031213, 0.21018536524339157]"
"[0.21999458101939182, 0.21975820906916443, 0.21936058663592048, 0.21949965598023669, 0.21918170914358023, 0.21845322543261003, 0.21798969121003636, 0.21738071663647282, 0.21631687271351718, 0.21521017913307464]","[0.21014287119561975, 0.21021216972307724, 0.21027836474505338, 0.210364122282375, 0.21045144173231992, 0.21097546409476886, 0.2114545526829633, 0.21181694621389563, 0.21249611133878882, 0.21324647014791315]"
"[0.2150926647745833, 0.214270679774333, 0.2138649895787239, 0.21344644728363776, 0.21327776477044944, 0.21321846529537317, 0.21293348742991078, 0.21258043284927094, 0.21297089284171863, 0.21265555826985105]","[0.21337869898839432, 0.21335206113078378, 0.214169519868764, 0.21496991271322424, 0.21490847793492404, 0.21642661501060834, 0.2157278900796717, 0.21529460359703412, 0.2156587757847526, 0.21557489714839242]"
"[0.21304447386337785, 0.21302532313429579, 0.21273124248397593, 0.21270662698210502, 0.2122445678224369, 0.21257949650895838, 0.21254354639320958, 0.21230953057505647, 0.2118570836527007, 0.21183183226658372]","[0.21543782272122122, 0.21604095263914627, 0.21614012122154236, 0.21584026380018753, 0.21578039093451065, 0.21587056734345175, 0.21643676947463641, 0.2162488035180352, 0.21620783345265823, 0.2167201516303149]"
"[0.21225496351110693, 0.21216342157247114, 0.2120105446297295, 0.2115346816729526, 0.21146645777079523, 0.21156292629181123, 0.21160471135256242, 0.2112848663664594, 0.21117311427179647, 0.21128304766453043]","[0.2162658233534206, 0.21740534901618958, 0.2165473293174397, 0.2168764119798487, 0.2167173827236349, 0.2169635919007388, 0.21707770092920822, 0.21703882650895553, 0.21709572727029974, 0.21720661358399826]"
"[0.21174133508181087, 0.21161404084794375, 0.21141505940836303, 0.2107425406575203, 0.2113651432553116, 0.21099296394659547, 0.21082326374491867, 0.21079865447720703, 0.21071363240480423, 0.21076130699746462]","[0.2171015048568899, 0.21763729778203098, 0.217506388371641, 0.217448581348766, 0.21794099292971872, 0.21742785112424332, 0.21828642352060837, 0.21759740872816605, 0.21760079806501215, 0.21782274679704147]"
"[0.2112786633779808, 0.21066450829408606, 0.21069645653573835, 0.2105782986903677, 0.21051584731559364, 0.21048010885715485, 0.21035846809343417, 0.21006514664207185, 0.21017356429781234, 0.2098165291304491]","[0.2174090580506758, 0.21756384589455344, 0.21778444133021616, 0.21818361499092795, 0.21834060143340717, 0.21912042661146683, 0.2179445827549154, 0.2186469787901098, 0.21855361082337119, 0.2185848125002601]"
"[0.21063396988474592, 0.21020412156168294, 0.21026331596836753, 0.21000307980848817, 0.20996000404868806, 0.20990260644834868, 0.20964676217765224, 0.2095536828345182, 0.2097229334164639, 0.209387373559329]","[0.21798388253558765, 0.21860591660846362, 0.21805061129006473, 0.21826602654023605, 0.21825314380905844, 0.21864033422686838, 0.21926893293857574, 0.21919516135345807, 0.21961017359386792, 0.21913935244083405]"
"[0.20970304165871775, 0.21002533864610048, 0.20961661355531946, 0.20948448359053962, 0.2095324016955434, 0.20931113572144994, 0.20908782950469426, 0.208908278419047, 0.20910542002137827, 0.20913512472595489]","[0.2181344668973576, 0.21939930319786072, 0.21924320540644907, 0.21935846182433041, 0.21887475387616592, 0.21920789642767471, 0.21921600265936417, 0.21940965273163535, 0.2188986445015127, 0.21883422813632272]"
