train,val
"[0.4426878903593336, 0.2643370885325938, 0.23056639001077536, 0.21952666463900586, 0.2152779931012465, 0.21336229662505948, 0.21270122166190827, 0.21252675004759614, 0.21218854386587532, 0.21213706871684718]","[0.30293030630458484, 0.24300938167355277, 0.22560893270102414, 0.2192819822918285, 0.21684170175682416, 0.2158766036683863, 0.21552049029957165, 0.21540902284058658, 0.21538286452943628, 0.2153798355297609]"
"[0.21208785656763582, 0.21218156814575195, 0.21206353179046086, 0.21207313680527162, 0.2123927489227178, 0.21220851811219235, 0.21197294808772146, 0.21210210283800046, 0.21251637427782527, 0.21180192882917365]","[0.2153819663958116, 0.21538365429097955, 0.215387147935954, 0.2153895212845369, 0.2153934660283002, 0.21539764377203854, 0.21539721434766596, 0.21540187976577066, 0.21541010656140067, 0.21542516215281052]"
"[0.2120040782860347, 0.21168409219505835, 0.21218070585508736, 0.21140841987668252, 0.21150910641465867, 0.21070109368587026, 0.2101172479439755, 0.20922524816527657, 0.2083479348494082, 0.20779497054766635]","[0.21541782129894604, 0.2154461605982347, 0.21547657657753339, 0.2155393890359185, 0.21567224778912283, 0.2160439139062708, 0.21655503321777692, 0.217123114249923, 0.21779728477651422, 0.21819490736181085]"
"[0.20780056258853602, 0.20685625426015075, 0.20664076932838985, 0.20640694836572726, 0.20617297717503139, 0.20607298536568272, 0.20599877834320068, 0.20583038944370893, 0.2053979846591852, 0.2056668379477092]","[0.21849901974201202, 0.2189916358752684, 0.21975499256090683, 0.2197588560256091, 0.21999596465717663, 0.22024927220561288, 0.22057728469371796, 0.2205590158700943, 0.22065512971444565, 0.22085460207679056]"
"[0.20572649565886478, 0.2059563018229543, 0.20565947601381612, 0.20541833386737474, 0.2057702456201826, 0.20553799368897263, 0.20531785685797127, 0.20488975835697992, 0.20498159147646963, 0.20479595813215995]","[0.2207839678634297, 0.2209069471467625, 0.22118968990716067, 0.2211959565227682, 0.2218878431753679, 0.22131274911490353, 0.22196458957412027, 0.2214878093112599, 0.22156163508241827, 0.22180770337581635]"
"[0.2051454510311691, 0.2049024891184301, 0.20491139073761142, 0.20451462664166276, 0.20442712109307853, 0.20415920596949907, 0.20389396514819594, 0.20421001315116882, 0.20384144418093622, 0.20373021522346807]","[0.2218770222230391, 0.22230751812458038, 0.2221186702901667, 0.22232858836650848, 0.22266981276598843, 0.22252224385738373, 0.22263761271129956, 0.2228204052556645, 0.22304052114486694, 0.22282045808705417]"
"[0.20478599548948054, 0.20393717684307877, 0.20404400934978406, 0.20398487165874366, 0.2037867070460806, 0.20371283134635615, 0.20367587616249005, 0.2033702108476843, 0.20327650588385912, 0.20331178575145956]","[0.22305783087557013, 0.22329171950166876, 0.2229928265918385, 0.2231859199025414, 0.22339232672344556, 0.22333923388611188, 0.2236834168434143, 0.22332978248596191, 0.22363318367437882, 0.22380435873161664]"
"[0.203826050141028, 0.20361324566967634, 0.20335373236816756, 0.20303897605258592, 0.20306946595712583, 0.20300486790282385, 0.20296042709022152, 0.20280148970837497, 0.20273820295625802, 0.20267534681728908]","[0.22334230623461984, 0.22366807542063974, 0.22367087142034012, 0.223923612724651, 0.22395471009341153, 0.2237221977927468, 0.22374349967999893, 0.22463174028830094, 0.22392237457362088, 0.22398101741617377]"
"[0.2033715324134243, 0.20302554189550634, 0.20291320417000322, 0.20258959352361913, 0.2027189791658703, 0.20234951392120246, 0.20235964731902492, 0.20235141549183397, 0.2021605910695329, 0.20228480775745547]","[0.22430305589329114, 0.22418272495269775, 0.224109332669865, 0.2244518521157178, 0.22470315478064798, 0.22451124001633038, 0.2243799309838902, 0.22429592094638132, 0.22434993494640698, 0.22430352595719424]"
"[0.20286645527396882, 0.2024627508861678, 0.2022819195170792, 0.20221371279687297, 0.20243564445753487, 0.20204240342183988, 0.20197581393378122, 0.20188640164477484, 0.20185831797366238, 0.20165268400189829]","[0.22409087013114581, 0.2245363633741032, 0.22434889592907645, 0.2248012748631564, 0.22471353276209396, 0.22457693381742996, 0.22486413608897815, 0.22491455078125, 0.22521557726643301, 0.2250854427164251]"
