params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_15_5_500,61.76277494430542,0.0,0.017766952514648438,0.0,0.001,15,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.040730706716378684,0.040730706716378684,0.0,1,0.059207408683148666,0.059207408683148666,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.001_15_15_5000,62.07346296310425,0.0,0.018401145935058594,0.0,0.001,15,15,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 5000}",0.03553358589195832,0.03553358589195832,0.0,2,0.04534202907859253,0.04534202907859253,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.001_5_5_500,59.47246789932251,0.0,0.021538972854614258,0.0,0.001,5,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.035390009689245105,0.035390009689245105,0.0,3,0.060035010914960996,0.060035010914960996,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.002_15_20_5000,63.313355922698975,0.0,0.018230199813842773,0.0,0.002,15,20,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 5000}",0.032731922511386236,0.032731922511386236,0.0,4,0.05149154448089377,0.05149154448089377,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.002_15_20_10000,69.35506010055542,0.0,0.018620729446411133,0.0,0.002,15,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 10000}",0.032491814072548086,0.032491814072548086,0.0,5,0.043776235460228685,0.043776235460228685,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.002_10_10_5000,64.21011900901794,0.0,0.01849508285522461,0.0,0.002,10,10,5000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 5000}",0.03227563942573641,0.03227563942573641,0.0,6,0.04595149741929139,0.04595149741929139,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.001_5_15_1000,64.45537304878235,0.0,0.018047094345092773,0.0,0.001,5,15,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 15, 'batch_size': 1000}",0.03184815288315801,0.03184815288315801,0.0,7,0.07300542600996707,0.07300542600996707,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.002_5_15_10000,67.45587611198425,0.0,0.017899036407470703,0.0,0.002,5,15,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 15, 'batch_size': 10000}",0.03154934466261372,0.03154934466261372,0.0,8,0.037944738266124545,0.037944738266124545,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.002_20_20_10000,68.35229301452637,0.0,0.018045902252197266,0.0,0.002,20,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 10000}",0.031298088772825694,0.031298088772825694,0.0,9,0.045013186506274505,0.045013186506274505,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
0.002_5_5_500,61.37785077095032,0.0,0.020650148391723633,0.0,0.002,5,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.0305279931348309,0.0305279931348309,0.0,10,0.06422987112078771,0.06422987112078771,0.0,5,300,0.3016990008046904,0.34961198229880375,0.05542500404315642,0.038183575863344976,0.01857713867348787,0.23922129828872496,0.004869550000876188,2.1671111583709717,0.056763005,0.002228233
