train,val
"[0.44071366196992445, 0.2614750355786207, 0.22705739037114747, 0.21553875019355695, 0.2112778283807696, 0.2093617550420518, 0.2085585769037811, 0.20864987563417883, 0.20802089632773885, 0.20806103199720383]","[0.300584383986213, 0.2406273606148633, 0.22314010560512543, 0.2167622514746406, 0.2142361199313944, 0.21326462518085132, 0.21293637427416715, 0.212841887365688, 0.21282469819892536, 0.21283083747733722]"
"[0.20792418459848483, 0.20843433315048412, 0.20791759995781645, 0.20795915595122746, 0.20804681127168695, 0.20834334726844514, 0.20807735850008166, 0.20803449196474894, 0.20821974487329015, 0.2080274645467194]","[0.21282935548912396, 0.21283588084307584, 0.21284484456885944, 0.21285039592872967, 0.2128490602428263, 0.21285312555053018, 0.21285892752083865, 0.21286037293347446, 0.21286751600829038, 0.21286730061877857]"
"[0.2078971572372378, 0.20774796224978506, 0.20760598991598403, 0.20737216804100542, 0.20716914108821324, 0.20711490527099494, 0.2062551627809904, 0.20586436378712558, 0.20516347793900236, 0.20420311710664205]","[0.21286615458401767, 0.21288354965773496, 0.21291327341036362, 0.21295658973130313, 0.2130574475635182, 0.21327350491827185, 0.21354557302865115, 0.21427637880498712, 0.2149216356602582, 0.21525974842635068]"
"[0.20399933201926096, 0.20316994357473997, 0.20281852599309416, 0.20225363878571256, 0.20212361839961032, 0.20198918955058467, 0.20185107874627017, 0.20191066803372637, 0.20148979294665006, 0.2014075149686969]","[0.21580178222872995, 0.21607152982191605, 0.21681009232997894, 0.2170236273245378, 0.2177326570857655, 0.2179954688657414, 0.21844519268382678, 0.21853199872103604, 0.21863609145988117, 0.2189246334812858]"
"[0.20187095636311841, 0.2014920357234624, 0.20171648051057542, 0.20149149487213214, 0.20109095971803276, 0.2007468622557971, 0.20062763608840048, 0.20108119656845014, 0.20080493238507485, 0.20048465374477056]","[0.21831166473301974, 0.21843965487046677, 0.21867315471172333, 0.21929894794117322, 0.21885585920377212, 0.2190325138243762, 0.21910443224690176, 0.2195715064352209, 0.2196072448383678, 0.2194385907866738]"
"[0.20085594575015867, 0.20075636721995413, 0.20033564038422644, 0.20054536404050127, 0.20033560009027013, 0.20015453364776106, 0.19982783754869382, 0.19997432569459994, 0.1997132181208961, 0.1994748425726988]","[0.2192439599470659, 0.21961794251745398, 0.22006045281887054, 0.21979222785342822, 0.22030098871751266, 0.22017077559774573, 0.22031762383200906, 0.22059758413921704, 0.22051243619485336, 0.22042062065818094]"
"[0.20009950578820948, 0.1998541602978901, 0.1999128273859316, 0.19960528292826243, 0.19930285542291037, 0.19906548121754003, 0.1993042752146721, 0.19921832470869533, 0.19927700958689865, 0.19874252120451052]","[0.22096618603576312, 0.22069253840229727, 0.22046317160129547, 0.2207655215805227, 0.22076217559250919, 0.22120661491697485, 0.22103955935348163, 0.22092944112691013, 0.22093928808515723, 0.22137710723009976]"
"[0.19978825276603504, 0.19927277187911832, 0.19890286157629927, 0.19890680878746267, 0.19886892296525896, 0.19878374754774328, 0.19884595761493762, 0.19877332859501548, 0.19862963700172853, 0.19855188228646103]","[0.2208761450919238, 0.22105830907821655, 0.22109578956257214, 0.22103594649921765, 0.22131082957441156, 0.22127426889809695, 0.2216006801886992, 0.22147246382453226, 0.22155095907774838, 0.22160158645022998]"
"[0.1990342953679513, 0.1984916522490735, 0.1984730125689993, 0.1982876147542681, 0.1983035941209112, 0.19798080752394637, 0.19809619192870295, 0.19813187519202427, 0.19797446753601639, 0.19805692562035151]","[0.22150096026333896, 0.22149950130419296, 0.22164987569505518, 0.22161598232659427, 0.22162531045350162, 0.22187491167675366, 0.22216564416885376, 0.22204822301864624, 0.22178519043055447, 0.22205887193029578]"
"[0.1985439054515897, 0.19813562032519555, 0.1980699174562279, 0.19821136079880655, 0.1978053309175433, 0.19782090559601784, 0.19775320179000191, 0.1976061414699165, 0.19761101209691592, 0.19756530734653377]","[0.22144943475723267, 0.2218348424543034, 0.22216774658723312, 0.22238636694171213, 0.22244284776124087, 0.222492054104805, 0.22185292704538864, 0.2224167612465945, 0.22215201096101242, 0.22232491861690173]"
