train,val
"[0.44331665519548924, 0.2647519590599196, 0.2313497113634129, 0.21999432617912487, 0.21641586447248654, 0.2143881837932431, 0.21355630898354006, 0.21337249723016, 0.21301038441609363, 0.21331084990987972]","[0.29648254405368457, 0.23522608524019067, 0.2170443060723218, 0.21003915098580447, 0.20713282173330133, 0.20591401782902805, 0.20536725493994626, 0.20511920208280737, 0.20500383458354257, 0.20495189726352692]"
"[0.21349003378834044, 0.21298649374927794, 0.2131728805145439, 0.21307287486840268, 0.2129153078612016, 0.21306242246408852, 0.2132681477434781, 0.21289062880131662, 0.21287392186267035, 0.21276751115005843]","[0.20491362701762805, 0.20490674403580753, 0.20490345358848572, 0.20490803637287833, 0.20491416210478003, 0.20491441136056726, 0.20492316376079212, 0.20491029593077573, 0.2049359597943046, 0.20496282523328607]"
"[0.21289478744171103, 0.2126188383114581, 0.21270926920126895, 0.21283353226525442, 0.21207383305442576, 0.21159636244481925, 0.21066821761885468, 0.20992102397947895, 0.2091362301488312, 0.20799992461593783]","[0.20493974604389883, 0.20495723729783838, 0.20501357452435928, 0.20515382967211984, 0.20531312037598004, 0.20592335137453946, 0.20613808117129587, 0.20654270594770258, 0.20725925944068216, 0.20760967921126972]"
"[0.20852289744177643, 0.20750703145654834, 0.2069072439050188, 0.20679784322879752, 0.206742135845885, 0.20641846453048746, 0.2061958978978955, 0.20625079620857628, 0.20624019175159689, 0.2061199849965621]","[0.20786628804423593, 0.20905130017887463, 0.20869572460651398, 0.20932725207372146, 0.20962890440767462, 0.21019891039891678, 0.2113149044188586, 0.2105819894508882, 0.21119836108251053, 0.21049762855876575]"
"[0.2062546083209466, 0.206131995256458, 0.20581852659887198, 0.20593196959519872, 0.20561095433575766, 0.20573803341510344, 0.20551383320470246, 0.20551130540516913, 0.20523015485734356, 0.20497015818041198]","[0.2098416103558107, 0.21086181022904135, 0.21053579991514032, 0.21085019003261218, 0.21114692091941833, 0.21076989715749567, 0.21089310944080353, 0.21147141673348166, 0.21100322902202606, 0.2109667726538398]"
"[0.20547664728091689, 0.20562444140716474, 0.20479041284748487, 0.2047899626955694, 0.20477247831164574, 0.20468849475894654, 0.2043092559490885, 0.20426969382227683, 0.20456613311353994, 0.2042179474112939]","[0.21134021336382086, 0.21145055510781027, 0.21103958108208395, 0.21177887916564941, 0.211796681989323, 0.21207146752964368, 0.2118288833986629, 0.21214167909188705, 0.21314604715867477, 0.21233494850722226]"
"[0.2047669259565217, 0.20434037094213525, 0.20444525550214612, 0.20427546148397485, 0.20402637488987982, 0.20436058071803073, 0.20386856155736105, 0.20367975396161175, 0.203707825012353, 0.2039609527101322]","[0.21159148351712662, 0.2117862037637017, 0.21181853115558624, 0.21275557577610016, 0.21228427643125708, 0.21308175677602942, 0.21250907263972543, 0.21251058443026108, 0.21295592866160654, 0.2130852382291447]"
"[0.20394610552763454, 0.20383744990947295, 0.20371665516678167, 0.20365143430476285, 0.2033877400111179, 0.2031405277702273, 0.20360367714750524, 0.2033195209746458, 0.2032031821353095, 0.20323378912040166]","[0.21225407177751715, 0.2124645398421721, 0.21292825043201447, 0.21275140751491894, 0.21268090063875372, 0.21277815103530884, 0.21317161077802832, 0.2134096067060124, 0.21373115479946136, 0.2130822309038856]"
"[0.20369476422059293, 0.2032881105432705, 0.20343821115639746, 0.2031604515350595, 0.20322740579746207, 0.2029209000115492, 0.20290286306824004, 0.202811988032594, 0.20282331093841668, 0.20281575133605878]","[0.21252802149815994, 0.21280178427696228, 0.21292517537420447, 0.21289419315078043, 0.21368142691525546, 0.21350879967212677, 0.21333398602225564, 0.2138391909274188, 0.213528111577034, 0.21426942944526672]"
"[0.2031316182443074, 0.20317322289457126, 0.20291246093657553, 0.20259603873199347, 0.20276838130488686, 0.20272496433890597, 0.20244352823617506, 0.20240521613432436, 0.20225569871919497, 0.20253002689201005]","[0.21379841999574142, 0.21379478411241012, 0.21376168050549246, 0.21397172050042587, 0.2134555307301608, 0.21338734301653775, 0.21385630558837543, 0.21382249756292862, 0.21404249153353952, 0.2144203158942136]"
"[0.2029753563051321, 0.2030601068114748, 0.2024284534308375, 0.2024445006129693, 0.20233556932332564, 0.20255989718193912, 0.20242795272141087, 0.20217058503506136, 0.2023258041970584, 0.20209500687767049]","[0.21336510371078143, 0.21415441686456854, 0.2136226255785335, 0.21414858509193768, 0.21402858739549463, 0.2139958075501702, 0.2141835716637698, 0.214586465196176, 0.2148937379772013, 0.21432607011361557]"
"[0.20243905978847523, 0.20223963473524367, 0.20248039249254732, 0.2022814949860378, 0.2021028326482189, 0.20221641903020898, 0.202094771576171, 0.20203837782752757, 0.20166488782483705, 0.2019087538427236]","[0.2137914855371822, 0.21420720490542325, 0.21407955614003268, 0.21448845619505102, 0.21469047936526212, 0.2142371413382617, 0.21499677273360165, 0.21455716274001382, 0.21497733755545181, 0.21471027488058264]"
"[0.20243809296160328, 0.2021725341981771, 0.20208118643079484, 0.20216067789160475, 0.20193478221795996, 0.201905790336278, 0.20163284743926962, 0.20182342165891004, 0.20154152293594516, 0.20157945110481612]","[0.21413710442456332, 0.2145500047640367, 0.21424506062811072, 0.21427970040928235, 0.21474868194623428, 0.21468064459887418, 0.21470840952613138, 0.21583880890499463, 0.21506588838317178, 0.21492724391547116]"
"[0.20243539600347987, 0.20181744515287633, 0.20191774243602947, 0.20211674706364163, 0.2015652668719389, 0.20166661179795556, 0.20138193210776972, 0.20157892241769906, 0.2016110418706524, 0.2015072197026136]","[0.21436923742294312, 0.21440243585543198, 0.21512916006825186, 0.2144587365063754, 0.21469965441660446, 0.2151963304389607, 0.21468953788280487, 0.2152641158212315, 0.21523701602762396, 0.2148137173869393]"
