train,val
"[0.4421995537621634, 0.26255569120450895, 0.22856512209590601, 0.21725857501127283, 0.2128824599239291, 0.2110782545440051, 0.21004114649733718, 0.2099837361245739, 0.20975743401415495, 0.20988559175510796]","[0.30184590545567597, 0.24222767217592758, 0.2250645323233171, 0.21879406408830124, 0.2163816676898436, 0.21545908667824484, 0.21514322270046582, 0.21504967321049084, 0.2150384174151854, 0.2150450430133126]"
"[0.20976692164430813, 0.21011483882154738, 0.20987370853521387, 0.2097301725678298, 0.209619547335469, 0.20943164939478953, 0.20954906681970675, 0.20970188400575093, 0.20970488385278352, 0.20969528218313138]","[0.21504920450123874, 0.2150549441576004, 0.21505880762230267, 0.2150621617382223, 0.21507001735947348, 0.2150725776498968, 0.21506877785379236, 0.21507237716154617, 0.2150770737366243, 0.21508353000337427]"
"[0.20972243042624727, 0.20934682704356253, 0.20960401637213572, 0.20943363862378256, 0.20915128260242696, 0.2083345241844654, 0.20821150103393865, 0.20738229596493196, 0.20676905981131963, 0.20594749736542606]","[0.21509966931559824, 0.21510375223376535, 0.21513347734104504, 0.2151776376095685, 0.21526800908825613, 0.21545519747517325, 0.21594158898700366, 0.21644243597984314, 0.21745807880705054, 0.21769800782203674]"
"[0.20529013674478142, 0.20472067427270266, 0.2045042422809163, 0.20440112160784857, 0.20380824393763833, 0.20383809400456293, 0.2038997171484694, 0.20373997016220677, 0.2038584692137582, 0.20348694646845059]","[0.2178309830752286, 0.2184473289684816, 0.21966320682655682, 0.2196147550236095, 0.22010076587850397, 0.22009226950732144, 0.22073326327584006, 0.2207562286745418, 0.22090609236197037, 0.2210553749041124]"
"[0.20358966959982502, 0.20353346546085513, 0.20333349005300172, 0.20341761668725888, 0.20321186616712686, 0.20326827420872084, 0.20307018942370705, 0.20301999729506823, 0.20276184030333344, 0.20274401775428227]","[0.2206561416387558, 0.22115371173078363, 0.2207907478917729, 0.22088717466050928, 0.2214484675364061, 0.2212097184224562, 0.22123504633253271, 0.2220583585175601, 0.22149092094464737, 0.2219077687371861]"
"[0.20275933728838452, 0.20257153719359514, 0.20256334254328084, 0.20266827378345995, 0.20222865577254975, 0.20210957831265974, 0.2019748966000518, 0.20220497767536008, 0.20184270733473253, 0.20197930080550058]","[0.22163221781904047, 0.22185627980665726, 0.22202799672430212, 0.22205624255267056, 0.22211142832582648, 0.22288848324255509, 0.22237256304784256, 0.22253203662959012, 0.22260582717982205, 0.22327239540490237]"
"[0.20221152202207215, 0.2019717340566674, 0.2019616900658121, 0.20161857151863527, 0.20146267921948918, 0.20152770591025448, 0.20143873320550335, 0.2016226722269642, 0.20139868519439988, 0.20120802726976725]","[0.2228454825553027, 0.2227420535954562, 0.22270951081405987, 0.22281861982562326, 0.2228731079535051, 0.2229909287257628, 0.22295584868301044, 0.2231359143148769, 0.22317669879306445, 0.22324739667502316]"
"[0.2017252442179894, 0.2013581024140728, 0.20132809999037762, 0.2011465974608246, 0.20108321141831728, 0.20114447556588114, 0.2006487549111551, 0.20083489535110338, 0.2009721068399293, 0.20053814868537748]","[0.22318806431510232, 0.22333517128771002, 0.2235329124060544, 0.22350478036837143, 0.22365332327105783, 0.2243479761210355, 0.22395009344274347, 0.22342960942875256, 0.22353076257488944, 0.2237320908091285]"
"[0.2008808607957801, 0.2010366226337394, 0.20065320465637712, 0.20069446627582824, 0.20057313341875466, 0.20024573346790003, 0.2003056652539847, 0.20057900599679168, 0.2004617823629963, 0.1999942555415387]","[0.22381829402663492, 0.22417712753469293, 0.2235251014882868, 0.22357029671018774, 0.22409710694443097, 0.22411627119237726, 0.2241341078823263, 0.22394281761212784, 0.22453306073492224, 0.22406499629670923]"
"[0.20058982036247544, 0.20052200464569792, 0.20020009181937393, 0.19992697026048387, 0.20046659376548262, 0.2002948750646747, 0.2002056291212841, 0.1995146156725835, 0.20006203453759758, 0.1998246292374572]","[0.22406197677959094, 0.22433730553496967, 0.22447224096818405, 0.2241409868001938, 0.2244584858417511, 0.22458505088632758, 0.22409063577651978, 0.22509313307025217, 0.22468203712593426, 0.22560768642208792]"
"[0.20041928121021815, 0.20006855045046126, 0.20010686316052262, 0.1998572501601005, 0.1997179060566182, 0.1997920813000932, 0.1996974864480447, 0.1996253810214753, 0.19947858458879042, 0.19924874755800986]","[0.2245556671511043, 0.22434394332495602, 0.22447066415439954, 0.22480889342047952, 0.22415877472270618, 0.2247625155882402, 0.22474645213647323, 0.22461252049966293, 0.2246571792797609, 0.22493545711040497]"
"[0.1996869715500851, 0.19951433802441676, 0.19960251709028165, 0.20012497552195374, 0.19935315900615283, 0.19942879258674018, 0.19924799915479155, 0.19907240067817727, 0.19919563449767172, 0.1992828871066473]","[0.22497668049552225, 0.22446600550954993, 0.22452768818898636, 0.22474957460706885, 0.22482073984362863, 0.2251457693901929, 0.2251588675108823, 0.2250331382859837, 0.22555102949792688, 0.22557135874574835]"
"[0.19993569853962684, 0.19957247840202585, 0.19945926971885622, 0.19945243563579054, 0.1991616802252069, 0.199178758780567, 0.19922864163408474, 0.19892982712813786, 0.19898899310097404, 0.1992127469607762]","[0.22602178969166495, 0.2251663844693791, 0.22541429779746316, 0.22548750720240854, 0.22515542534264651, 0.22514400427991693, 0.2255599634213881, 0.2258854928341779, 0.22619264234196057, 0.22521557049317795]"
"[0.1995805242688072, 0.19928195160262438, 0.19925931491413895, 0.19920028989412347, 0.19910198244817404, 0.19912468132619954, 0.19902483715998884, 0.19918185791799, 0.1988826746843299, 0.19850460303073025]","[0.22526356984268536, 0.22520975633101029, 0.2255907654762268, 0.2252825932069258, 0.2258060032671148, 0.22561718658967453, 0.2257244031537663, 0.2255935628305782, 0.2256590331142599, 0.22551964765245264]"
"[0.1994457559622064, 0.19920860428591164, 0.1991910528467626, 0.19894785479623445, 0.1986959815329435, 0.19902547981057847, 0.19872930128963626, 0.19887740073763593, 0.19863798484510306, 0.1985377775011014]","[0.22537233883684332, 0.2260097793557427, 0.22545632042668082, 0.22631752761927518, 0.22497417710044168, 0.22564873776652597, 0.22526628185402264, 0.2252484465187246, 0.22551522607153113, 0.22555133429440585]"
"[0.19920496809847502, 0.19902114767809304, 0.19895655289292336, 0.19893477036028492, 0.1987834523374937, 0.19867421207683428, 0.19837969647986547, 0.19845587273641507, 0.1988023782567102, 0.19847629211690962]","[0.22570101510394702, 0.22551570697264237, 0.22589479386806488, 0.22584715756503018, 0.22588834031061691, 0.22566469826481558, 0.22571765563704752, 0.2257616953416304, 0.2258920588276603, 0.22622319920496506]"
"[0.19923540113531812, 0.19899040202097018, 0.19895579498641344, 0.19839347587252149, 0.19870632552370734, 0.19857877112773, 0.1986206373085781, 0.19817259474372378, 0.19843835444474706, 0.19841603630659532]","[0.22548053616827185, 0.22619302570819855, 0.2258966009725224, 0.22613330456343564, 0.22677664323286575, 0.2267627404494719, 0.22603712298653342, 0.22648651085116647, 0.226311670108275, 0.22681055827574295]"
"[0.19903684878835873, 0.1987779867284152, 0.1988864820830676, 0.19846524663117468, 0.1985155788003182, 0.19869834595188804, 0.1983336234579281, 0.19848808144428293, 0.1981823320443533, 0.19849422178706344]","[0.22600471837954086, 0.22643482820554214, 0.22617834535512057, 0.22601650113409216, 0.22639903019775043, 0.22582461346279492, 0.2265576503493569, 0.22649076310071078, 0.22615420005538248, 0.22653986378149552]"
"[0.19913603623910825, 0.1987954029167185, 0.19855398167761004, 0.19847652726635642, 0.19837137821073436, 0.1982765234246546, 0.19866378894265818, 0.19854608246562433, 0.1983470887097777, 0.19819736678381356]","[0.22673453255133194, 0.2265378020026467, 0.2262667336247184, 0.22625086930665103, 0.22644090381535617, 0.22594991326332092, 0.22677140073342758, 0.22622273320501501, 0.22645152427933432, 0.22619569978930734]"
"[0.1988888671811746, 0.19862646868034284, 0.19832516415994994, 0.19830389092771375, 0.19819783335741686, 0.19854684645424084, 0.19842259342573126, 0.19810559433333727, 0.19827596858447913, 0.19828328208959833]","[0.22691560875285754, 0.22616909579797226, 0.22627353126352484, 0.22627415711229498, 0.226596014066176, 0.22702913121743637, 0.226250634952025, 0.22681340710683304, 0.22645840048789978, 0.22618657756935467]"
"[0.19865765331351026, 0.1985707149213674, 0.19846753289504926, 0.1983342196564285, 0.19830872316141518, 0.1982684492760775, 0.1982418164914968, 0.19812790714964576, 0.19826286400155146, 0.19804768598809533]","[0.22652184692296115, 0.22678189521486108, 0.22589161721142856, 0.2265660302205519, 0.22673504867336966, 0.22608885710889642, 0.2267770306630568, 0.22698374498974194, 0.2265818254514174, 0.22675765508955176]"
"[0.1988813788915167, 0.19857305744472814, 0.19821098598898673, 0.1983083006830848, 0.198075069608737, 0.19815710141342513, 0.19804812663671922, 0.1981171212938367, 0.1978523553330071, 0.19789855790381528]","[0.22660106826912274, 0.22723404385826804, 0.22822830351916226, 0.22667176615108142, 0.22756796939806503, 0.22691422429951755, 0.22658865018324417, 0.22653323411941528, 0.22633402320471677, 0.22648719359527936]"
"[0.19882921828907363, 0.1983127000988746, 0.19832616436238193, 0.19802659932447939, 0.19820750489526864, 0.19833306664106798, 0.1979772977683009, 0.19771165218280287, 0.19789528907561788, 0.19795200662041196]","[0.22677252373912118, 0.22612760148265146, 0.2268308617851951, 0.22727411714467136, 0.22659593685106796, 0.2269488965923136, 0.22693403336134824, 0.22771630368449472, 0.22665857862342487, 0.22677662426775153]"
