train,val
"[0.44238943469767666, 0.2631574785526918, 0.22910950089595755, 0.21749977524183234, 0.213266130612821, 0.211722410455042, 0.2111356214297061, 0.2108032241159556, 0.2106600013010356, 0.21055564466787843]","[0.29279703172770416, 0.22944693131880325, 0.21004048531705682, 0.20238051224838605, 0.19900689070874994, 0.19748098470947958, 0.19675223393873734, 0.19638752395456488, 0.19621762497858566, 0.1961347542025826]"
"[0.2102109921373883, 0.2102327622017082, 0.21041601029585819, 0.2105102245600856, 0.21042459123596854, 0.2103887093918664, 0.21018629384284115, 0.21019981208504462, 0.2102986148425511, 0.2101312056183815]","[0.19609200954437256, 0.1960360976782712, 0.19602309031919998, 0.19604641876437448, 0.19606758247722278, 0.19604431499134412, 0.19603785466064105, 0.1960497173396024, 0.19609800658442758, 0.19608109376647256]"
"[0.21013183268357297, 0.20977947602466662, 0.20978564107600522, 0.20975947334450118, 0.20966919488748725, 0.20915498249993034, 0.20861883324627972, 0.20796678032802077, 0.20746695143835886, 0.20684601777062125]","[0.19606659629128195, 0.19608283720233224, 0.19611116837371478, 0.19625122303312476, 0.19628562981432135, 0.19674649292772467, 0.19736854596571488, 0.19818987087769943, 0.19842630624771118, 0.19818882644176483]"
"[0.20636802562037293, 0.20616916597497706, 0.20555125663475116, 0.20535325639101923, 0.2048568794009637, 0.2049427058319656, 0.2046533388142683, 0.20463601165280051, 0.20457761476234515, 0.20446116233966788]","[0.1986072835597125, 0.19974002919413827, 0.19884614104574377, 0.20080132376063953, 0.19936821406537836, 0.20020205730741675, 0.20042819732969458, 0.20114329592748123, 0.20047250525517898, 0.2007255432280627]"
"[0.2050729015347909, 0.20468938867656553, 0.20440454279281656, 0.2046253069931147, 0.20440777847353292, 0.20408064948052776, 0.20395703279242225, 0.20409180604073465, 0.20376947993526653, 0.20354615091061107]","[0.20074470747600903, 0.20125745643268933, 0.20097560503266074, 0.20103796774690802, 0.20107003640044818, 0.20063848793506622, 0.201466289433566, 0.20110236379233273, 0.20201139693910425, 0.20130394263701004]"
"[0.20393872428305296, 0.20353772019853397, 0.20328888844470588, 0.20304347620326646, 0.20330451474506028, 0.20287318390851117, 0.20292785885382672, 0.20274171461256182, 0.20263710496376972, 0.20220455983463598]","[0.2014957761222666, 0.2015194906429811, 0.20182642069729892, 0.2014950622211803, 0.20212648131630637, 0.20268044011159378, 0.2023817842656916, 0.2028129900043661, 0.20280189947648483, 0.2020740102637898]"
"[0.20312953497074088, 0.20279160354818618, 0.20271411127581887, 0.20259646523971947, 0.20241163351706096, 0.20251861609974686, 0.20219100312310823, 0.2021028321920609, 0.20164359224085904, 0.20168402714996922]","[0.20179065520113165, 0.2023170996796001, 0.20246201211755926, 0.2030260522257198, 0.2023106813430786, 0.20302596823735672, 0.20329385318539359, 0.20255891301415183, 0.2026870237155394, 0.20256951722231778]"
"[0.20241529874655664, 0.20206010296028487, 0.20211999483254492, 0.20188989916018077, 0.2017156514434182, 0.20135936293066764, 0.20133646714444065, 0.2012828932124741, 0.2011329686003072, 0.20117572968711658]","[0.2029048895294016, 0.20259276980703528, 0.20284494215791876, 0.20369071039286527, 0.20344400541348892, 0.20388972623781723, 0.2043966366486116, 0.20284139703620563, 0.20340665091167798, 0.2034957923672416]"
"[0.20216494023191686, 0.20125290964330947, 0.20131525427711253, 0.20109836407461945, 0.20072704857709456, 0.20060579569972292, 0.20066061403070176, 0.20050636785370962, 0.20062133327734713, 0.20057345075266703]","[0.20389332419092004, 0.20313658226620068, 0.2034360576759685, 0.2035818248987198, 0.2038164043968374, 0.20364531061866067, 0.20326113971796902, 0.20400341126051816, 0.2043423435904763, 0.20371593805876645]"
"[0.2011970990166372, 0.20114056081796178, 0.2009077801996348, 0.20042487211069282, 0.2007826160715551, 0.20031134373679452, 0.20045682210095075, 0.19998012270246232, 0.20023076000566387, 0.20013652453008962]","[0.2041938535191796, 0.20353245599703354, 0.2052944451570511, 0.20384118502790277, 0.20361410894177176, 0.20449883964928714, 0.20389558645811948, 0.2042332332242619, 0.2053394317626953, 0.20487906445156445]"
"[0.2004694155588442, 0.2003409502153494, 0.1999444990437858, 0.2003572584719074, 0.20003374726796636, 0.19981406416211808, 0.1997648325501656, 0.19972452278039893, 0.1996994031479164, 0.19957233372391486]","[0.20447008447213608, 0.20423487235199322, 0.20425161990252408, 0.20437592538920316, 0.20412794839252124, 0.2049397365613417, 0.20412056148052216, 0.20445086332884702, 0.2047876607288014, 0.2044172612103549]"
"[0.20038699936501833, 0.20010233244725636, 0.1997415963180211, 0.19961263528283762, 0.1996156714704572, 0.19969278072216073, 0.19929249348993205, 0.1994027294674698, 0.19945068733424556, 0.19922013953328133]","[0.20470775663852692, 0.20421715622598474, 0.2043211744590239, 0.2044581107117913, 0.20484549755399878, 0.2056095762686296, 0.20473259687423706, 0.20564629137516022, 0.20519718798724088, 0.2056571732867848]"
"[0.20037464006822936, 0.19968541186987138, 0.19955821730652634, 0.1993224393500357, 0.19918036438068565, 0.19954877027443477, 0.19916134540523803, 0.19913311865256758, 0.19888104711260116, 0.19892401004932364]","[0.20450821112502704, 0.20548049021850934, 0.2045603800903667, 0.20477119765498422, 0.20520561662587253, 0.2056883085857738, 0.2055182307958603, 0.2055030952800404, 0.20552647655660455, 0.20523357797752728]"
"[0.1997092548681765, 0.1996946509699432, 0.19922330055613907, 0.19923180372131113, 0.19885911807721976, 0.19896255844101615, 0.1987293703975726, 0.19885449035435307, 0.1989470276297355, 0.19874177918750413]","[0.20498015799305655, 0.20610063861716876, 0.20496604388410394, 0.205444411797957, 0.2048870108344338, 0.20479575476863168, 0.20534681596539237, 0.2052807943387465, 0.20500645989721472, 0.20479721372777765]"
"[0.19967468949605008, 0.1992139005843474, 0.19889182612604026, 0.19906355896774602, 0.1988038278507943, 0.1986800765200537, 0.19879823026000237, 0.19883641068424499, 0.19860302033473035, 0.1986006109081969]","[0.20460051840001886, 0.20465387133034793, 0.20518790049986405, 0.20535008338364688, 0.20504171739925037, 0.2056254338134419, 0.20493955368345435, 0.2059884328733791, 0.205058367414908, 0.20523691990158774]"
"[0.19927705368217158, 0.19919780824257402, 0.19890947814802734, 0.19878537238252406, 0.19870957853842755, 0.19848823729826479, 0.1987356099547172, 0.19846000263885577, 0.1983759161465022, 0.19832738359667818]","[0.20560102706605737, 0.20521963319995187, 0.20609820972789417, 0.20498953488740054, 0.20556267283179544, 0.2052378004247492, 0.20589990372007544, 0.20529281957582993, 0.2059209644794464, 0.20646856047890402]"
"[0.1990668502997379, 0.19885858376415408, 0.19881177701208055, 0.1987550602275498, 0.19864144510760598, 0.1985983381770095, 0.19829513436677504, 0.19822188345145206, 0.19844660200938888, 0.19812744810264937]","[0.2051335789940574, 0.20613706789233469, 0.20548575845631686, 0.2070284675468098, 0.20584882524880496, 0.2053498395464637, 0.20725805786522952, 0.2055163329297846, 0.20649739558046515, 0.20624653046781366]"
"[0.19913806507782061, 0.19857679170613385, 0.19877042347679333, 0.1985835851151116, 0.19854554176634673, 0.19836705086790785, 0.1982548721894926, 0.19820371178948148, 0.19811554937338344, 0.19812908449343272]","[0.20578966628421436, 0.2053603773767298, 0.20638398148796774, 0.20529762452298944, 0.20612294971942902, 0.20679468322883954, 0.20520136166702618, 0.2066218446601521, 0.20648971877314828, 0.20662376961924814]"
"[0.19908073848607588, 0.19868226615445955, 0.1983738683012067, 0.19830099143544022, 0.19842294557970397, 0.19816892168351583, 0.19839980103531663, 0.19812042859135842, 0.19812834338874233, 0.19814837100554486]","[0.20575579459016974, 0.20608113164251501, 0.20586526664820584, 0.20681803063912826, 0.20644842901013113, 0.2052889953960072, 0.20576071061871268, 0.20609591088511728, 0.20649356191808527, 0.20592069219459186]"
"[0.1991152410604516, 0.1986036194222314, 0.19835299086205813, 0.19844698890739557, 0.19809236590351378, 0.19810607086639015, 0.19800712586361535, 0.19792121557556852, 0.19802718161016095, 0.19798600916959802]","[0.2058867419307882, 0.20644338428974152, 0.20583004436709665, 0.20560616119341416, 0.20575248382308267, 0.20554931868206372, 0.20647770030931992, 0.20704210617325522, 0.20538977465846323, 0.2066065790978345]"
"[0.19880030653914627, 0.19854944944381714, 0.19823545232719306, 0.19849789781229837, 0.1982552033601975, 0.19812489384595228, 0.19822275881864587, 0.19801770393945733, 0.1981823691452036, 0.19790431568209005]","[0.20580377768386493, 0.20567052472721448, 0.2062782970341769, 0.2062429731542414, 0.2065793519670313, 0.20648729259317572, 0.20593662018125708, 0.20579979771917517, 0.20672691816633398, 0.20583427087827164]"
"[0.19891579145071459, 0.19865114196222655, 0.19832114996958752, 0.19815076477065377, 0.19800324335086103, 0.19793598870841825, 0.19792518415013138, 0.19779523233978116, 0.19784569512216413, 0.1979891299745258]","[0.2057352973656221, 0.20565130629322745, 0.20605244826186786, 0.20677865093404596, 0.20568486912684006, 0.2064079547470266, 0.20644464546983893, 0.2070924544876272, 0.20642391524531625, 0.20683798329396683]"
"[0.1988516527475143, 0.19831101261839576, 0.19824636932842585, 0.19809507137658644, 0.1983596882497778, 0.19793799694399444, 0.19794057666951295, 0.19789167189476442, 0.19759125794683183, 0.19764261875225572]","[0.20612223039973865, 0.20611859451640735, 0.2057782696052031, 0.20562744547020306, 0.2058203721588308, 0.20564972812479193, 0.20641315118833023, 0.20688661391084845, 0.20741616595875134, 0.20651917159557343]"
"[0.19865227110531866, 0.19811749564749853, 0.19842717887795702, 0.1979791284823904, 0.19809851795434952, 0.1982624024456861, 0.19802630783952013, 0.19792324737930783, 0.197523903633867, 0.1977266238964334]","[0.20633206584236838, 0.20594582503492181, 0.206141242926771, 0.20565721528096634, 0.2065343138846484, 0.2067451775074005, 0.20589406788349152, 0.2062330733646046, 0.2066639783707532, 0.20682257278399033]"
"[0.19856029277553364, 0.1984099430241147, 0.19806209982049708, 0.19806803124291555, 0.19765823106376493, 0.19793383625088906, 0.19761228667838232, 0.19754175279213457, 0.1977969873316434, 0.19738641016337335]","[0.20592029934579675, 0.2063606232404709, 0.2060768739743666, 0.20689845085144043, 0.20711986991492184, 0.20640641044486652, 0.20640759440985593, 0.20688738199797543, 0.2065381041981957, 0.2060419822281057]"
"[0.19847385304010645, 0.19814812087891054, 0.19781978367542735, 0.19784132056698508, 0.19757195212403122, 0.1977193367724516, 0.19764865706769788, 0.19779614769682594, 0.1976774118992747, 0.19738082169574134]","[0.20639807256785306, 0.2064689262346788, 0.2066075259988958, 0.2060780389742418, 0.20686292919245633, 0.20653693784366955, 0.2069831070574847, 0.20641121539202603, 0.206253781914711, 0.2063478556546298]"
"[0.19842790485340722, 0.1983735946824356, 0.19802169957939458, 0.19786502846649714, 0.19764762523831153, 0.19775411942783666, 0.1976167246395228, 0.19759518546717508, 0.19756027478344587, 0.1973209673044633]","[0.2063191831111908, 0.20718641037290747, 0.2061403664675626, 0.20684326236898248, 0.2070308422500437, 0.2066033496098085, 0.20789185166358948, 0.2063833393833854, 0.20663221586834302, 0.20741332390091635]"
"[0.1983468353140111, 0.1979371373142515, 0.19782242452611729, 0.1976054061432274, 0.19771801269784264, 0.19747911865005688, 0.19726348120947274, 0.19769459886818516, 0.19744117702452504, 0.1971980216247695]","[0.20591741664843125, 0.20571011711250653, 0.20707865872166373, 0.20726634155620227, 0.2067439772865989, 0.20702960138971155, 0.2076334316622127, 0.20649063180793414, 0.20745183662934738, 0.20624006336385553]"
