params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_5_5_500,58.65107989311218,0.0,0.02038121223449707,0.0,0.001,5,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.040631023081502016,0.040631023081502016,0.0,1,0.059180460281592406,0.059180460281592406,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.001_15_5_500,61.47318911552429,0.0,0.01791214942932129,0.0,0.001,15,5,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.03790406944805358,0.03790406944805358,0.0,2,0.05969302472060434,0.05969302472060434,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.001_5_15_1000,64.27087187767029,0.0,0.019043922424316406,0.0,0.001,5,15,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 15, 'batch_size': 1000}",0.03722461399476096,0.03722461399476096,0.0,3,0.06777084934828348,0.06777084934828348,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.002_5_5_500,58.244011878967285,0.0,0.019855022430419922,0.0,0.002,5,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 500}",0.03532832861069157,0.03532832861069157,0.0,4,0.06653839673715822,0.06653839673715822,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.001_10_10_1000,60.998213052749634,0.0,0.01817488670349121,0.0,0.001,10,10,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 1000}",0.033545872400961185,0.033545872400961185,0.0,5,0.06524756829615397,0.06524756829615397,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.01_20_5_10000,68.04523301124573,0.0,0.01851487159729004,0.0,0.01,20,5,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 5, 'batch_size': 10000}",0.03347135103933574,0.03347135103933574,0.0,6,0.046564187448681515,0.046564187448681515,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.002_15_5_500,61.721920013427734,0.0,0.018060684204101562,0.0,0.002,15,5,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 500}",0.03240639852206206,0.03240639852206206,0.0,7,0.06351577711659939,0.06351577711659939,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.01_15_5_10000,67.46624684333801,0.0,0.018477916717529297,0.0,0.01,15,5,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 5, 'batch_size': 10000}",0.029277682914446768,0.029277682914446768,0.0,8,0.04299813255482521,0.04299813255482521,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.001_15_15_5000,61.92902612686157,0.0,0.018311738967895508,0.0,0.001,15,15,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 5000}",0.029212159380571645,0.029212159380571645,0.0,9,0.03846008739869278,0.03846008739869278,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
0.002_15_20_10000,68.39835095405579,0.0,0.01809215545654297,0.0,0.002,15,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 10000}",0.02749272717232165,0.02749272717232165,0.0,10,0.03811403220337317,0.03811403220337317,0.0,4,300,0.3022331675798538,0.3519696513003471,0.053752606792438096,0.03169740009370514,0.019821840074793706,0.2349780100218678,0.005112482700496912,0.666884183883667,0.047782164,0.001510994
